,azimuth_angle_bins,max_elevation_angles (deg),radial_distances (m),heights (m),longitude,latitude
1017,101.7,4.664956655571315,7340.754575383672,599.0,-90.39625,79.40513888888889
1018,101.80000000000001,4.6910719774535465,7324.079707413622,601.0,-90.39708333333333,79.40513888888889
1019,101.9,10.395048979724304,223.5002028799878,41.0,-90.73708333333333,79.41819444444444
1020,102.0,4.560200135486518,7347.133869857289,586.0,-90.39625,79.40486111111112
1021,102.10000000000001,4.411819750923708,7297.1579885193605,563.0,-90.39875,79.40486111111112
1022,102.2,4.437769134947517,7370.285027622183,572.0,-90.39541666666666,79.40458333333333
1023,102.30000000000001,4.304515998701824,7320.3482746374,551.0,-90.39791666666666,79.40458333333333
1024,102.4,4.33342672248359,7376.898026223019,559.0,-90.39541666666666,79.40430555555555
1025,102.5,4.236604564313247,7343.635050864396,544.0,-90.39708333333333,79.40430555555555
1026,102.60000000000001,4.2120080884418805,7400.253704398016,545.0,-90.39458333333333,79.40402777777778
1027,102.7,4.20601837271425,7383.634603489237,543.0,-90.39541666666666,79.40402777777778
1028,102.80000000000001,4.096790609462193,8837.747013862443,633.0,-90.32625,79.40097222222222
1029,102.9,12.536772616655872,206.86419890247686,46.0,-90.73791666666666,79.41819444444444
1030,103.0,4.128368347933772,8811.479142143653,636.0,-90.32791666666667,79.40069444444444
1031,103.10000000000001,4.106234710315166,16617.851441624825,1193.0,-89.95625,79.38458333333334
1032,103.2,4.170321684420397,8818.52940804126,643.0,-90.32791666666667,79.40041666666667
1033,103.30000000000001,4.184623649157136,8801.9506782924,644.0,-90.32875,79.40041666666667
1034,103.4,4.213577937497382,8809.117115739162,649.0,-90.32875,79.40013888888889
1035,103.5,4.24092961028389,8792.5536426845,652.0,-90.32958333333333,79.40013888888889
1036,103.60000000000001,4.203652549242524,8816.386183815883,648.0,-90.32875,79.39986111111111
1037,103.7,4.292365920601341,8766.74238690883,658.0,-90.33125,79.39986111111111
1038,103.80000000000001,4.2603483616058435,16578.416337977735,1235.0,-89.96041666666666,79.38291666666666
1039,103.9,4.335849685307117,8757.625349621627,664.0,-90.33208333333333,79.39958333333334
1040,104.0,14.156698691724998,190.29879390060614,48.0,-90.73875,79.41819444444444
1041,104.10000000000001,4.361880955639627,16584.37869818499,1265.0,-89.96125,79.38208333333333
1042,104.2,4.37455519111846,8732.129252766315,668.0,-90.33375,79.39930555555556
1043,104.30000000000001,4.382306756336258,16558.974575901826,1269.0,-89.96291666666667,79.38180555555556
1044,104.4,4.400314835303244,8706.801633759822,670.0,-90.33541666666666,79.39902777777777
1045,104.5,4.392220426559999,16508.433755093836,1268.0,-89.96625,79.38125
1046,104.60000000000001,4.416002799697941,8714.594950060738,673.0,-90.33541666666666,79.39875
1047,104.7,4.4458171782405165,8681.643967141239,675.0,-90.33708333333334,79.39875
1048,104.80000000000001,4.3989610703235575,8722.490926637116,671.0,-90.33541666666666,79.39847222222222
1049,104.9,4.476437255044052,8673.112692409879,679.0,-90.33791666666667,79.39847222222222
